-0.0002,-0.0052,-1.6010
-0.0003,-0.0100,-1.6010
-0.0007,-0.0152,-1.6423
-0.0010,-0.0199,-1.6423
-0.0016,-0.0251,-1.6866
-0.0022,-0.0303,-1.6866
-0.0028,-0.0350,-1.6866
-0.0036,-0.0402,-1.7339
-0.0039,-0.0418,-1.7339
-0.0042,-0.0465,-1.6374
-0.0044,-0.0480,-1.6788
-0.0044,-0.0528,-1.5822
-0.0047,-0.0575,-1.6238
-0.0048,-0.0590,-1.6711
-0.0048,-0.0638,-1.5676
-0.0049,-0.0653,-1.6091
-0.0046,-0.0701,-1.5125
-0.0045,-0.0748,-1.5541
-0.0046,-0.0764,-1.6015
-0.0042,-0.0816,-1.4979
-0.0038,-0.0868,-1.4980
-0.0034,-0.0921,-1.4980
-0.0030,-0.0973,-1.4980
-0.0027,-0.1020,-1.4980
-0.0021,-0.1067,-1.4508
-0.0013,-0.1113,-1.4049
-0.0004,-0.1160,-1.3576
0.0009,-0.1205,-1.3104
0.0023,-0.1250,-1.2660
0.0039,-0.1295,-1.2217
0.0057,-0.1338,-1.1744
0.0077,-0.1381,-1.1271
0.0100,-0.1423,-1.0828
0.0124,-0.1463,-1.0315
0.0153,-0.1507,-0.9870
0.0182,-0.1551,-0.9868
0.0211,-0.1595,-0.9867
0.0240,-0.1638,-0.9865
0.0269,-0.1682,-0.9865
0.0298,-0.1726,-0.9865
0.0327,-0.1770,-0.9865
0.0355,-0.1813,-0.9865
0.0384,-0.1857,-0.9864
0.0413,-0.1901,-0.9864
0.0442,-0.1945,-0.9864
0.0471,-0.1988,-0.9864
0.0500,-0.2032,-0.9864
0.0529,-0.2076,-0.9865
0.0555,-0.2115,-0.9865
0.0582,-0.2160,-1.0281
0.0609,-0.2205,-1.0281
0.0634,-0.2246,-1.0281
0.0659,-0.2292,-1.0757
0.0684,-0.2338,-1.0757
0.0706,-0.2380,-1.0757
0.0729,-0.2427,-1.1233
0.0752,-0.2474,-1.1232
0.0772,-0.2517,-1.1232
0.0792,-0.2565,-1.1708
0.0811,-0.2609,-1.1707
0.0829,-0.2658,-1.2154
0.0847,-0.2707,-1.2154
0.0864,-0.2751,-1.2154
0.0880,-0.2801,-1.2629
0.0896,-0.2851,-1.2629
0.0911,-0.2901,-1.2629
0.0926,-0.2946,-1.2629
0.0939,-0.2997,-1.3077
0.0953,-0.3048,-1.3077
0.0965,-0.3093,-1.3077
0.0977,-0.3145,-1.3554
0.0988,-0.3196,-1.3554
0.0998,-0.3242,-1.3554
0.1006,-0.3294,-1.4071
0.1015,-0.3346,-1.4071
0.1023,-0.3392,-1.4071
0.1029,-0.3444,-1.4547
0.1035,-0.3496,-1.4547
0.1041,-0.3549,-1.4547
0.1046,-0.3596,-1.4547
0.1050,-0.3648,-1.5023
0.1054,-0.3700,-1.5023
0.1057,-0.3747,-1.5023
0.1058,-0.3800,-1.5499
0.1059,-0.3852,-1.5499
0.1060,-0.3900,-1.5499
0.1059,-0.3952,-1.5975
0.1057,-0.4004,-1.5975
0.1056,-0.4052,-1.5975
0.1052,-0.4104,-1.6437
0.1048,-0.4156,-1.6438
0.1045,-0.4203,-1.6437
0.1039,-0.4256,-1.6910
0.1032,-0.4308,-1.6910
0.1027,-0.4355,-1.6910
0.1018,-0.4406,-1.7424
0.1010,-0.4453,-1.7424
0.0998,-0.4504,-1.7900
0.0987,-0.4555,-1.7900
0.0976,-0.4601,-1.7900
0.0962,-0.4652,-1.8414
0.0948,-0.4702,-1.8414
0.0936,-0.4748,-1.8414
0.0919,-0.4798,-1.8891
0.0905,-0.4843,-1.8891
0.0886,-0.4892,-1.9367
0.0867,-0.4941,-1.9367
